source_region_id,source_region_name,hemisphere,biological_base_name,normalized_name_en,normalized_name_zh,zh_status,unresolved_descriptors
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_BST_BASAL_FOREBRAIN_BED_NUCLEUS_RIGHT,"BST (Basal Forebrain, Bed Nucleus) right",right,"BST (Basal Forebrain, Bed Nucleus)","BST (Basal Forebrain, Bed Nucleus) right",右侧BST（基底前脑，终纹床核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_BST_BASAL_FOREBRAIN_BED_NUCLEUS_LEFT,"BST (Basal Forebrain, Bed Nucleus) left",left,"BST (Basal Forebrain, Bed Nucleus)","BST (Basal Forebrain, Bed Nucleus) left",左侧BST（基底前脑，终纹床核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_123_BASAL_FOREBRAIN_RIGHT,Ch 123 (Basal Forebrain) right,right,Ch 123 (Basal Forebrain),Ch 123 (Basal Forebrain) right,右侧Ch 123（基底前脑）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_123_BASAL_FOREBRAIN_LEFT,Ch 123 (Basal Forebrain) left,left,Ch 123 (Basal Forebrain),Ch 123 (Basal Forebrain) left,左侧Ch 123（基底前脑）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AAA_AMYGDALA_RIGHT,CM.AAA (Amygdala) right,right,CM.AAA (Amygdala),CM.AAA (Amygdala) right,右侧CM.AAA（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_CE_AMYGDALA_RIGHT,CM.Ce (Amygdala) right,right,CM.Ce (Amygdala),CM.Ce (Amygdala) right,右侧CM.Ce（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_ME_AMYGDALA_RIGHT,CM.Me (Amygdala) right,right,CM.Me (Amygdala),CM.Me (Amygdala) right,右侧CM.Me（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AAA_AMYGDALA_LEFT,CM.AAA (Amygdala) left,left,CM.AAA (Amygdala),CM.AAA (Amygdala) left,左侧CM.AAA（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_CE_AMYGDALA_LEFT,CM.Ce (Amygdala) left,left,CM.Ce (Amygdala),CM.Ce (Amygdala) left,左侧CM.Ce（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_ME_AMYGDALA_LEFT,CM.Me (Amygdala) left,left,CM.Me (Amygdala),CM.Me (Amygdala) left,左侧CM.Me（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BL_AMYGDALA_RIGHT,LB.Bl (Amygdala) right,right,LB.Bl (Amygdala),LB.Bl (Amygdala) right,右侧LB.Bl（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BM_AMYGDALA_RIGHT,LB.Bm (Amygdala) right,right,LB.Bm (Amygdala),LB.Bm (Amygdala) right,右侧LB.Bm（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_PL_AMYGDALA_RIGHT,LB.Pl (Amygdala) right,right,LB.Pl (Amygdala),LB.Pl (Amygdala) right,右侧LB.Pl（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_LA_AMYGDALA_RIGHT,LB.La (Amygdala) right,right,LB.La (Amygdala),LB.La (Amygdala) right,右侧LB.La（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BL_AMYGDALA_LEFT,LB.Bl (Amygdala) left,left,LB.Bl (Amygdala),LB.Bl (Amygdala) left,左侧LB.Bl（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BM_AMYGDALA_LEFT,LB.Bm (Amygdala) left,left,LB.Bm (Amygdala),LB.Bm (Amygdala) left,左侧LB.Bm（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_PL_AMYGDALA_LEFT,LB.Pl (Amygdala) left,left,LB.Pl (Amygdala),LB.Pl (Amygdala) left,左侧LB.Pl（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_LA_AMYGDALA_LEFT,LB.La (Amygdala) left,left,LB.La (Amygdala),LB.La (Amygdala) left,左侧LB.La（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AHI_AMYGDALA_RIGHT,SF.AHi (Amygdala) right,right,SF.AHi (Amygdala),SF.AHi (Amygdala) right,右侧SF.AHi（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_APIR_AMYGDALA_RIGHT,SF.APir (Amygdala) right,right,SF.APir (Amygdala),SF.APir (Amygdala) right,右侧SF.APir（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_VCO_AMYGDALA_RIGHT,SF.VCo (Amygdala) right,right,SF.VCo (Amygdala),SF.VCo (Amygdala) right,右侧SF.VCo（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AHI_AMYGDALA_LEFT,SF.AHi (Amygdala) left,left,SF.AHi (Amygdala),SF.AHi (Amygdala) left,左侧SF.AHi（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_APIR_AMYGDALA_LEFT,SF.APir (Amygdala) left,left,SF.APir (Amygdala),SF.APir (Amygdala) left,左侧SF.APir（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_VCO_AMYGDALA_LEFT,SF.VCo (Amygdala) left,left,SF.VCo (Amygdala),SF.VCo (Amygdala) left,左侧SF.VCo（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA_RIGHT,Astr (Amygdala) right,right,Astr (Amygdala),Astr (Amygdala) right,右侧Astr（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA_LEFT,Astr (Amygdala) left,left,Astr (Amygdala),Astr (Amygdala) left,左侧Astr（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VTM_AMYGDALA_RIGHT,VTM (Amygdala) right,right,VTM (Amygdala),VTM (Amygdala) right,右侧VTM（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VTM_AMYGDALA_LEFT,VTM (Amygdala) left,left,VTM (Amygdala),VTM (Amygdala) left,左侧VTM（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_ICE_AMYGDALA_RIGHT,IF.ice (Amygdala) right,right,IF.ice (Amygdala),IF.ice (Amygdala) right,右侧IF.ice（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_IOL_AMYGDALA_RIGHT,IF.iol (Amygdala) right,right,IF.iol (Amygdala),IF.iol (Amygdala) right,右侧IF.iol（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_LD_AMYGDALA_RIGHT,IF.ld (Amygdala) right,right,IF.ld (Amygdala),IF.ld (Amygdala) right,右侧IF.ld（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_ICE_AMYGDALA_LEFT,IF.ice (Amygdala) left,left,IF.ice (Amygdala),IF.ice (Amygdala) left,左侧IF.ice（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_IOL_AMYGDALA_LEFT,IF.iol (Amygdala) left,left,IF.iol (Amygdala),IF.iol (Amygdala) left,左侧IF.iol（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_LD_AMYGDALA_LEFT,IF.ld (Amygdala) left,left,IF.ld (Amygdala),IF.ld (Amygdala) left,左侧IF.ld（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_ICM_AMYGDALA_RIGHT,MF.icm (Amygdala) right,right,MF.icm (Amygdala),MF.icm (Amygdala) right,右侧MF.icm（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_LM_AMYGDALA_RIGHT,MF.lm (Amygdala) right,right,MF.lm (Amygdala),MF.lm (Amygdala) right,右侧MF.lm（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_ICM_AMYGDALA_LEFT,MF.icm (Amygdala) left,left,MF.icm (Amygdala),MF.icm (Amygdala) left,左侧MF.icm（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_LM_AMYGDALA_LEFT,MF.lm (Amygdala) left,left,MF.lm (Amygdala),MF.lm (Amygdala) left,左侧MF.lm（杏仁核）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL_RIGHT,Area 5L (SPL) right,right,Area 5L (SPL),Area 5L (SPL) right,右侧5L区（顶上小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL_LEFT,Area 5L (SPL) left,left,Area 5L (SPL),Area 5L (SPL) left,左侧5L区（顶上小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7M_SPL_RIGHT,Area 7M (SPL) right,right,Area 7M (SPL),Area 7M (SPL) right,右侧7M区（顶上小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7M_SPL_LEFT,Area 7M (SPL) left,left,Area 7M (SPL),Area 7M (SPL) left,左侧7M区（顶上小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7PC_SPL_RIGHT,Area 7PC (SPL) right,right,Area 7PC (SPL),Area 7PC (SPL) right,右侧7PC区（顶上小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7PC_SPL_LEFT,Area 7PC (SPL) left,left,Area 7PC (SPL),Area 7PC (SPL) left,左侧7PC区（顶上小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL_RIGHT,Area 5M (SPL) right,right,Area 5M (SPL),Area 5M (SPL) right,右侧5M区（顶上小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL_LEFT,Area 5M (SPL) left,left,Area 5M (SPL),Area 5M (SPL) left,左侧5M区（顶上小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL_RIGHT,Area 7P (SPL) right,right,Area 7P (SPL),Area 7P (SPL) right,右侧7P区（顶上小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL_LEFT,Area 7P (SPL) left,left,Area 7P (SPL),Area 7P (SPL) left,左侧7P区（顶上小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL_RIGHT,Area 5Ci (SPL) right,right,Area 5Ci (SPL),Area 5Ci (SPL) right,右侧5Ci区（顶上小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL_LEFT,Area 5Ci (SPL) left,left,Area 5Ci (SPL),Area 5Ci (SPL) left,左侧5Ci区（顶上小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7A_SPL_RIGHT,Area 7A (SPL) right,right,Area 7A (SPL),Area 7A (SPL) right,右侧7A区（顶上小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7A_SPL_LEFT,Area 7A (SPL) left,left,Area 7A (SPL),Area 7A (SPL) left,左侧7A区（顶上小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3B_POSTCG_RIGHT,Area 3b (PostCG) right,right,Area 3b (PostCG),Area 3b (PostCG) right,右侧3b区（中央后回）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3B_POSTCG_LEFT,Area 3b (PostCG) left,left,Area 3b (PostCG),Area 3b (PostCG) left,左侧3b区（中央后回）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG_RIGHT,Area 1 (PostCG) right,right,Area 1 (PostCG),Area 1 (PostCG) right,右侧1区（中央后回）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG_LEFT,Area 1 (PostCG) left,left,Area 1 (PostCG),Area 1 (PostCG) left,左侧1区（中央后回）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS_RIGHT,Area 2 (PostCS) right,right,Area 2 (PostCS),Area 2 (PostCS) right,右侧2区（中央后沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS_LEFT,Area 2 (PostCS) left,left,Area 2 (PostCS),Area 2 (PostCS) left,左侧2区（中央后沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3A_POSTCG_RIGHT,Area 3a (PostCG) right,right,Area 3a (PostCG),Area 3a (PostCG) right,右侧3a区（中央后回）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3A_POSTCG_LEFT,Area 3a (PostCG) left,left,Area 3a (PostCG),Area 3a (PostCG) left,左侧3a区（中央后回）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP1_POPERC_RIGHT,Area Op1 (POperc) right,right,Area Op1 (POperc),Area Op1 (POperc) right,右侧Op1区（顶叶岛盖）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP1_POPERC_LEFT,Area Op1 (POperc) left,left,Area Op1 (POperc),Area Op1 (POperc) left,左侧Op1区（顶叶岛盖）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP2_POPERC_RIGHT,Area Op2 (POperc) right,right,Area Op2 (POperc),Area Op2 (POperc) right,右侧Op2区（顶叶岛盖）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP2_POPERC_LEFT,Area Op2 (POperc) left,left,Area Op2 (POperc),Area Op2 (POperc) left,左侧Op2区（顶叶岛盖）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP3_POPERC_RIGHT,Area Op3 (POperc) right,right,Area Op3 (POperc),Area Op3 (POperc) right,右侧Op3区（顶叶岛盖）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP3_POPERC_LEFT,Area Op3 (POperc) left,left,Area Op3 (POperc),Area Op3 (POperc) left,左侧Op3区（顶叶岛盖）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP4_POPERC_RIGHT,Area Op4 (POperc) right,right,Area Op4 (POperc),Area Op4 (POperc) right,右侧Op4区（顶叶岛盖）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP4_POPERC_LEFT,Area Op4 (POperc) left,left,Area Op4 (POperc),Area Op4 (POperc) left,左侧Op4区（顶叶岛盖）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PF_IPL_RIGHT,Area PF (IPL) right,right,Area PF (IPL),Area PF (IPL) right,右侧PF区（顶下小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PF_IPL_LEFT,Area PF (IPL) left,left,Area PF (IPL),Area PF (IPL) left,左侧PF区（顶下小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFCM_IPL_RIGHT,Area PFcm (IPL) right,right,Area PFcm (IPL),Area PFcm (IPL) right,右侧PFcm区（顶下小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFCM_IPL_LEFT,Area PFcm (IPL) left,left,Area PFcm (IPL),Area PFcm (IPL) left,左侧PFcm区（顶下小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PGA_IPL_RIGHT,Area PGa (IPL) right,right,Area PGa (IPL),Area PGa (IPL) right,右侧PGa区（顶下小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PGA_IPL_LEFT,Area PGa (IPL) left,left,Area PGa (IPL),Area PGa (IPL) left,左侧PGa区（顶下小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFT_IPL_RIGHT,Area PFt (IPL) right,right,Area PFt (IPL),Area PFt (IPL) right,右侧PFt区（顶下小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFT_IPL_LEFT,Area PFt (IPL) left,left,Area PFt (IPL),Area PFt (IPL) left,左侧PFt区（顶下小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFM_IPL_RIGHT,Area PFm (IPL) right,right,Area PFm (IPL),Area PFm (IPL) right,右侧PFm区（顶下小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFM_IPL_LEFT,Area PFm (IPL) left,left,Area PFm (IPL),Area PFm (IPL) left,左侧PFm区（顶下小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PGP_IPL_RIGHT,Area PGp (IPL) right,right,Area PGp (IPL),Area PGp (IPL) right,右侧PGp区（顶下小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PGP_IPL_LEFT,Area PGp (IPL) left,left,Area PGp (IPL),Area PGp (IPL) left,左侧PGp区（顶下小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFOP_IPL_RIGHT,Area PFop (IPL) right,right,Area PFop (IPL),Area PFop (IPL) right,右侧PFop区（顶下小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFOP_IPL_LEFT,Area PFop (IPL) left,left,Area PFop (IPL),Area PFop (IPL) left,左侧PFop区（顶下小叶）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HPO1_POS_RIGHT,Area hPO1 (POS) right,right,Area hPO1 (POS),Area hPO1 (POS) right,右侧hPO1区（顶枕沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HPO1_POS_LEFT,Area hPO1 (POS) left,left,Area hPO1 (POS),Area hPO1 (POS) left,左侧hPO1区（顶枕沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP1_IPS_RIGHT,Area hIP1 (IPS) right,right,Area hIP1 (IPS),Area hIP1 (IPS) right,右侧hIP1区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP1_IPS_LEFT,Area hIP1 (IPS) left,left,Area hIP1 (IPS),Area hIP1 (IPS) left,左侧hIP1区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP7_IPS_RIGHT,Area hIP7 (IPS) right,right,Area hIP7 (IPS),Area hIP7 (IPS) right,右侧hIP7区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP7_IPS_LEFT,Area hIP7 (IPS) left,left,Area hIP7 (IPS),Area hIP7 (IPS) left,左侧hIP7区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP3_IPS_RIGHT,Area hIP3 (IPS) right,right,Area hIP3 (IPS),Area hIP3 (IPS) right,右侧hIP3区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP3_IPS_LEFT,Area hIP3 (IPS) left,left,Area hIP3 (IPS),Area hIP3 (IPS) left,左侧hIP3区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP2_IPS_RIGHT,Area hIP2 (IPS) right,right,Area hIP2 (IPS),Area hIP2 (IPS) right,右侧hIP2区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP2_IPS_LEFT,Area hIP2 (IPS) left,left,Area hIP2 (IPS),Area hIP2 (IPS) left,左侧hIP2区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP4_IPS_RIGHT,Area hIP4 (IPS) right,right,Area hIP4 (IPS),Area hIP4 (IPS) right,右侧hIP4区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP4_IPS_LEFT,Area hIP4 (IPS) left,left,Area hIP4 (IPS),Area hIP4 (IPS) left,左侧hIP4区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP5_IPS_RIGHT,Area hIP5 (IPS) right,right,Area hIP5 (IPS),Area hIP5 (IPS) right,右侧hIP5区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP5_IPS_LEFT,Area hIP5 (IPS) left,left,Area hIP5 (IPS),Area hIP5 (IPS) left,左侧hIP5区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP6_IPS_RIGHT,Area hIP6 (IPS) right,right,Area hIP6 (IPS),Area hIP6 (IPS) right,右侧hIP6区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP6_IPS_LEFT,Area hIP6 (IPS) left,left,Area hIP6 (IPS),Area hIP6 (IPS) left,左侧hIP6区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP8_IPS_RIGHT,Area hIP8 (IPS) right,right,Area hIP8 (IPS),Area hIP8 (IPS) right,右侧hIP8区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP8_IPS_LEFT,Area hIP8 (IPS) left,left,Area hIP8 (IPS),Area hIP8 (IPS) left,左侧hIP8区（顶内沟）,resolved,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6V3_PRECG_RIGHT,Area 6v3 (PreCG) right,right,Area 6v3 (PreCG),Area 6v3 (PreCG) right,右侧6v3区（中央前回）,resolved,
