channel_index,source_label,official_name,hemisphere,anatomical_group,centroid_x,include_candidate,ontology_review,justification
0,Unknown,Unknown,Background/Unknown,background/non-nucleus,0.25,exclude(background),not a nucleus,channel 0 is the complement 'not one of 26 nuclei' class
1,Left-LGN,Left-LGN,Left,metathalamus/geniculate,-21.321,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=metathalamus/geniculate; nucleus of the dorsal/ventral/metathalamus
27,Left-LP,Left-LP,Left,posterior/lateral-posterior,-8.682,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=posterior/lateral-posterior; nucleus of the dorsal/ventral/metathalamus
28,Right-PuI,Right-PuI,Right,pulvinar,18.337,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=pulvinar; nucleus of the dorsal/ventral/metathalamus
29,Right-PuM,Right-PuM,Right,pulvinar,13.383,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=pulvinar; nucleus of the dorsal/ventral/metathalamus
30,Right-L-Sg,Right-L-Sg,Right,posterior/limitans-sg,9.446,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=posterior/limitans-sg; nucleus of the dorsal/ventral/metathalamus
31,Right-VPL,Right-VPL,Right,ventral,15.703,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=ventral; nucleus of the dorsal/ventral/metathalamus
32,Right-CM,Right-CM,Right,intralaminar,9.679,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=intralaminar; nucleus of the dorsal/ventral/metathalamus
33,Right-VLa,Right-VLa,Right,ventral,11.621,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=ventral; nucleus of the dorsal/ventral/metathalamus
34,Right-PuA,Right-PuA,Right,pulvinar,11.082,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=pulvinar; nucleus of the dorsal/ventral/metathalamus
35,Right-MDm,Right-MDm,Right,mediodorsal,4.597,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=mediodorsal; nucleus of the dorsal/ventral/metathalamus
36,Right-Pf,Right-Pf,Right,intralaminar,6.854,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=intralaminar; nucleus of the dorsal/ventral/metathalamus
37,Right-VAmc,Right-VAmc,Right,ventral,7.111,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=ventral; nucleus of the dorsal/ventral/metathalamus
38,Right-MDl,Right-MDl,Right,mediodorsal,6.915,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=mediodorsal; nucleus of the dorsal/ventral/metathalamus
39,Right-R,Right-R,Right,reticular,16.573,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=reticular; nucleus of the dorsal/ventral/metathalamus
40,Right-VA,Right-VA,Right,ventral,8.414,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=ventral; nucleus of the dorsal/ventral/metathalamus
41,Right-MV(Re),Right-MV(Re),Right,midline/reuniens,3.525,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=midline/reuniens; nucleus of the dorsal/ventral/metathalamus
42,Right-CeM,Right-CeM,Right,midline,4.193,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=midline; nucleus of the dorsal/ventral/metathalamus
43,Right-VM,Right-VM,Right,ventral,16.338,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=ventral; nucleus of the dorsal/ventral/metathalamus
44,Right-PuL,Right-PuL,Right,pulvinar,17.606,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=pulvinar; nucleus of the dorsal/ventral/metathalamus
45,Right-CL,Right-CL,Right,intralaminar,4.495,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=intralaminar; nucleus of the dorsal/ventral/metathalamus
46,Right-VLp,Right-VLp,Right,ventral,11.853,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=ventral; nucleus of the dorsal/ventral/metathalamus
47,Right-Pc,Right-Pc,Right,intralaminar,6.2,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=intralaminar; nucleus of the dorsal/ventral/metathalamus
48,Right-Pt,Right-Pt,Right,paratenial,8.853,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=paratenial; nucleus of the dorsal/ventral/metathalamus
49,Right-AV,Right-AV,Right,anterior,4.12,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=anterior; nucleus of the dorsal/ventral/metathalamus
50,Right-LP,Right-LP,Right,posterior/lateral-posterior,9.182,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=posterior/lateral-posterior; nucleus of the dorsal/ventral/metathalamus
51,Left-LD,Left-LD,Left,posterior/laterodorsal,-4.806,include_left_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=posterior/laterodorsal; nucleus of the dorsal/ventral/metathalamus
52,Right-LD,Right-LD,Right,posterior/laterodorsal,5.306,include_right_whole_thalamus_candidate,whole-thalamus boundary ok,inside Iglesias2018 whole-thalamus manual segmentation; group=posterior/laterodorsal; nucleus of the dorsal/ventral/metathalamus
