surface_label_name,hemisphere,parcel_id,official_code,g3_entity_id,g3_name,alignment_method,alignment_status,note
A9/46d_L,left,15,MFG_L_7_1,NGIQ-BR-00000033,"Left Middle frontal gyrus, Brainnetome 7_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A9/46d_R,right,16,MFG_R_7_1,NGIQ-BR-00000034,"Right Middle frontal gyrus, Brainnetome 7_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
IFJ_L,left,17,MFG_L_7_2,NGIQ-BR-00000035,"Left Middle frontal gyrus, Brainnetome 7_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
IFJ_R,right,18,MFG_R_7_2,NGIQ-BR-00000036,"Right Middle frontal gyrus, Brainnetome 7_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A46_L,left,19,MFG_L_7_3,NGIQ-BR-00000037,"Left Middle frontal gyrus, Brainnetome 7_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A46_R,right,20,MFG_R_7_3,NGIQ-BR-00000038,"Right Middle frontal gyrus, Brainnetome 7_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A9/46v_L,left,21,MFG_L_7_4,NGIQ-BR-00000039,"Left Middle frontal gyrus, Brainnetome 7_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A9/46v_R,right,22,MFG_R_7_4,NGIQ-BR-00000040,"Right Middle frontal gyrus, Brainnetome 7_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A8vl_L,left,23,MFG_L_7_5,NGIQ-BR-00000041,"Left Middle frontal gyrus, Brainnetome 7_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A8vl_R,right,24,MFG_R_7_5,NGIQ-BR-00000042,"Right Middle frontal gyrus, Brainnetome 7_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A6vl_L,left,25,MFG_L_7_6,NGIQ-BR-00000043,"Left Middle frontal gyrus, Brainnetome 7_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A6vl_R,right,26,MFG_R_7_6,NGIQ-BR-00000044,"Right Middle frontal gyrus, Brainnetome 7_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A10l_L,left,27,MFG_L_7_7,NGIQ-BR-00000045,"Left Middle frontal gyrus, Brainnetome 7_7",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A10l_R,right,28,MFG_R_7_7,NGIQ-BR-00000046,"Right Middle frontal gyrus, Brainnetome 7_7",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A44d_L,left,29,IFG_L_6_1,NGIQ-BR-00000003,"Left Inferior frontal gyrus, Brainnetome 6_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A44d_R,right,30,IFG_R_6_1,NGIQ-BR-00000004,"Right Inferior frontal gyrus, Brainnetome 6_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
IFS_L,left,31,IFG_L_6_2,NGIQ-BR-00000047,"Left Inferior frontal gyrus, Brainnetome 6_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
IFS_R,right,32,IFG_R_6_2,NGIQ-BR-00000048,"Right Inferior frontal gyrus, Brainnetome 6_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A45c_L,left,33,IFG_L_6_3,NGIQ-BR-00000049,"Left Inferior frontal gyrus, Brainnetome 6_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A45c_R,right,34,IFG_R_6_3,NGIQ-BR-00000050,"Right Inferior frontal gyrus, Brainnetome 6_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A45r_L,left,35,IFG_L_6_4,NGIQ-BR-00000051,"Left Inferior frontal gyrus, Brainnetome 6_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A45r_R,right,36,IFG_R_6_4,NGIQ-BR-00000052,"Right Inferior frontal gyrus, Brainnetome 6_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A44op_L,left,37,IFG_L_6_5,NGIQ-BR-00000053,"Left Inferior frontal gyrus, Brainnetome 6_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A44op_R,right,38,IFG_R_6_5,NGIQ-BR-00000054,"Right Inferior frontal gyrus, Brainnetome 6_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A44v_L,left,39,IFG_L_6_6,NGIQ-BR-00000055,"Left Inferior frontal gyrus, Brainnetome 6_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A44v_R,right,40,IFG_R_6_6,NGIQ-BR-00000056,"Right Inferior frontal gyrus, Brainnetome 6_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A14m_L,left,41,OrG_L_6_1,NGIQ-BR-00000057,"Left Orbital gyrus, Brainnetome 6_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A14m_R,right,42,OrG_R_6_1,NGIQ-BR-00000058,"Right Orbital gyrus, Brainnetome 6_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A12/47o_L,left,43,OrG_L_6_2,NGIQ-BR-00000059,"Left Orbital gyrus, Brainnetome 6_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A12/47o_R,right,44,OrG_R_6_2,NGIQ-BR-00000060,"Right Orbital gyrus, Brainnetome 6_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A11l_L,left,45,OrG_L_6_3,NGIQ-BR-00000061,"Left Orbital gyrus, Brainnetome 6_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A11l_R,right,46,OrG_R_6_3,NGIQ-BR-00000062,"Right Orbital gyrus, Brainnetome 6_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A11m_L,left,47,OrG_L_6_4,NGIQ-BR-00000063,"Left Orbital gyrus, Brainnetome 6_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A11m_R,right,48,OrG_R_6_4,NGIQ-BR-00000064,"Right Orbital gyrus, Brainnetome 6_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A13_L,left,49,OrG_L_6_5,NGIQ-BR-00000065,"Left Orbital gyrus, Brainnetome 6_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A13_R,right,50,OrG_R_6_5,NGIQ-BR-00000066,"Right Orbital gyrus, Brainnetome 6_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A12/47l_L,left,51,OrG_L_6_6,NGIQ-BR-00000067,"Left Orbital gyrus, Brainnetome 6_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A12/47l_R,right,52,OrG_R_6_6,NGIQ-BR-00000068,"Right Orbital gyrus, Brainnetome 6_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A4hf_L,left,53,PrG_L_6_1,NGIQ-BR-00000069,"Left Precentral gyrus, Brainnetome 6_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A4hf_R,right,54,PrG_R_6_1,NGIQ-BR-00000070,"Right Precentral gyrus, Brainnetome 6_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A6cdl_L,left,55,PrG_L_6_2,NGIQ-BR-00000071,"Left Precentral gyrus, Brainnetome 6_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A6cdl_R,right,56,PrG_R_6_2,NGIQ-BR-00000072,"Right Precentral gyrus, Brainnetome 6_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A4ul_L,left,57,PrG_L_6_3,NGIQ-BR-00000073,"Left Precentral gyrus, Brainnetome 6_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A4ul_R,right,58,PrG_R_6_3,NGIQ-BR-00000074,"Right Precentral gyrus, Brainnetome 6_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A4t_L,left,59,PrG_L_6_4,NGIQ-BR-00000075,"Left Precentral gyrus, Brainnetome 6_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A4t_R,right,60,PrG_R_6_4,NGIQ-BR-00000076,"Right Precentral gyrus, Brainnetome 6_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A4tl_L,left,61,PrG_L_6_5,NGIQ-BR-00000077,"Left Precentral gyrus, Brainnetome 6_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A4tl_R,right,62,PrG_R_6_5,NGIQ-BR-00000078,"Right Precentral gyrus, Brainnetome 6_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A6cvl_L,left,63,PrG_L_6_6,NGIQ-BR-00000079,"Left Precentral gyrus, Brainnetome 6_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A6cvl_R,right,64,PrG_R_6_6,NGIQ-BR-00000080,"Right Precentral gyrus, Brainnetome 6_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A1/2/3ll_L,left,65,PCL_L_2_1,NGIQ-BR-00000081,"Left Paracentral lobule, Brainnetome 2_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A1/2/3ll_R,right,66,PCL_R_2_1,NGIQ-BR-00000082,"Right Paracentral lobule, Brainnetome 2_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A4ll_L,left,67,PCL_L_2_2,NGIQ-BR-00000083,"Left Paracentral lobule, Brainnetome 2_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A4ll_R,right,68,PCL_R_2_2,NGIQ-BR-00000084,"Right Paracentral lobule, Brainnetome 2_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A38m_L,left,69,STG_L_6_1,NGIQ-BR-00000005,"Left Superior temporal gyrus, Brainnetome 6_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A38m_R,right,70,STG_R_6_1,NGIQ-BR-00000006,"Right Superior temporal gyrus, Brainnetome 6_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A41/42_L,left,71,STG_L_6_2,NGIQ-BR-00000085,"Left Superior temporal gyrus, Brainnetome 6_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A41/42_R,right,72,STG_R_6_2,NGIQ-BR-00000086,"Right Superior temporal gyrus, Brainnetome 6_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
TE1.0/TE1.2_L,left,73,STG_L_6_3,NGIQ-BR-00000087,"Left Superior temporal gyrus, Brainnetome 6_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
TE1.0/TE1.2_R,right,74,STG_R_6_3,NGIQ-BR-00000088,"Right Superior temporal gyrus, Brainnetome 6_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A22c_L,left,75,STG_L_6_4,NGIQ-BR-00000089,"Left Superior temporal gyrus, Brainnetome 6_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A22c_R,right,76,STG_R_6_4,NGIQ-BR-00000090,"Right Superior temporal gyrus, Brainnetome 6_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A38l_L,left,77,STG_L_6_5,NGIQ-BR-00000091,"Left Superior temporal gyrus, Brainnetome 6_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A38l_R,right,78,STG_R_6_5,NGIQ-BR-00000092,"Right Superior temporal gyrus, Brainnetome 6_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A22r_L,left,79,STG_L_6_6,NGIQ-BR-00000093,"Left Superior temporal gyrus, Brainnetome 6_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A22r_R,right,80,STG_R_6_6,NGIQ-BR-00000094,"Right Superior temporal gyrus, Brainnetome 6_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A21c_L,left,81,MTG_L_4_1,NGIQ-BR-00000007,"Left Middle temporal gyrus, Brainnetome 4_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A21c_R,right,82,MTG_R_4_1,NGIQ-BR-00000008,"Right Middle temporal gyrus, Brainnetome 4_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A21r_L,left,83,MTG_L_4_2,NGIQ-BR-00000095,"Left Middle temporal gyrus, Brainnetome 4_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A21r_R,right,84,MTG_R_4_2,NGIQ-BR-00000096,"Right Middle temporal gyrus, Brainnetome 4_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A37dl_L,left,85,MTG_L_4_3,NGIQ-BR-00000097,"Left Middle temporal gyrus, Brainnetome 4_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A37dl_R,right,86,MTG_R_4_3,NGIQ-BR-00000098,"Right Middle temporal gyrus, Brainnetome 4_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
aSTS_L,left,87,MTG_L_4_4,NGIQ-BR-00000099,"Left Middle temporal gyrus, Brainnetome 4_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
aSTS_R,right,88,MTG_R_4_4,NGIQ-BR-00000100,"Right Middle temporal gyrus, Brainnetome 4_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A20iv_L,left,89,ITG_L_7_1,NGIQ-BR-00000101,"Left Inferior temporal gyrus, Brainnetome 7_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A20iv_R,right,90,ITG_R_7_1,NGIQ-BR-00000102,"Right Inferior temporal gyrus, Brainnetome 7_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A37elv_L,left,91,ITG_L_7_2,NGIQ-BR-00000103,"Left Inferior temporal gyrus, Brainnetome 7_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A37elv_R,right,92,ITG_R_7_2,NGIQ-BR-00000104,"Right Inferior temporal gyrus, Brainnetome 7_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A20r_L,left,93,ITG_L_7_3,NGIQ-BR-00000105,"Left Inferior temporal gyrus, Brainnetome 7_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A20r_R,right,94,ITG_R_7_3,NGIQ-BR-00000106,"Right Inferior temporal gyrus, Brainnetome 7_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A20il_L,left,95,ITG_L_7_4,NGIQ-BR-00000107,"Left Inferior temporal gyrus, Brainnetome 7_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A20il_R,right,96,ITG_R_7_4,NGIQ-BR-00000108,"Right Inferior temporal gyrus, Brainnetome 7_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A37vl_L,left,97,ITG_L_7_5,NGIQ-BR-00000109,"Left Inferior temporal gyrus, Brainnetome 7_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A37vl_R,right,98,ITG_R_7_5,NGIQ-BR-00000110,"Right Inferior temporal gyrus, Brainnetome 7_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A20cl_L,left,99,ITG_L_7_6,NGIQ-BR-00000111,"Left Inferior temporal gyrus, Brainnetome 7_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A20cl_R,right,100,ITG_R_7_6,NGIQ-BR-00000112,"Right Inferior temporal gyrus, Brainnetome 7_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A20cv_L,left,101,ITG_L_7_7,NGIQ-BR-00000113,"Left Inferior temporal gyrus, Brainnetome 7_7",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A20cv_R,right,102,ITG_R_7_7,NGIQ-BR-00000114,"Right Inferior temporal gyrus, Brainnetome 7_7",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A20rv_L,left,103,FuG_L_3_1,NGIQ-BR-00000115,"Left Fusiform gyrus, Brainnetome 3_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A20rv_R,right,104,FuG_R_3_1,NGIQ-BR-00000116,"Right Fusiform gyrus, Brainnetome 3_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A37mv_L,left,105,FuG_L_3_2,NGIQ-BR-00000117,"Left Fusiform gyrus, Brainnetome 3_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A37mv_R,right,106,FuG_R_3_2,NGIQ-BR-00000118,"Right Fusiform gyrus, Brainnetome 3_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A37lv_L,left,107,FuG_L_3_3,NGIQ-BR-00000119,"Left Fusiform gyrus, Brainnetome 3_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A37lv_R,right,108,FuG_R_3_3,NGIQ-BR-00000120,"Right Fusiform gyrus, Brainnetome 3_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A35/36r_L,left,109,PhG_L_6_1,NGIQ-BR-00000121,"Left Parahippocampal gyrus, Brainnetome 6_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A35/36r_R,right,110,PhG_R_6_1,NGIQ-BR-00000122,"Right Parahippocampal gyrus, Brainnetome 6_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A35/36c_L,left,111,PhG_L_6_2,NGIQ-BR-00000123,"Left Parahippocampal gyrus, Brainnetome 6_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A35/36c_R,right,112,PhG_R_6_2,NGIQ-BR-00000124,"Right Parahippocampal gyrus, Brainnetome 6_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
TL_L,left,113,PhG_L_6_3,NGIQ-BR-00000125,"Left Parahippocampal gyrus, Brainnetome 6_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
TL_R,right,114,PhG_R_6_3,NGIQ-BR-00000126,"Right Parahippocampal gyrus, Brainnetome 6_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A28/34_L,left,115,PhG_L_6_4,NGIQ-BR-00000127,"Left Parahippocampal gyrus, Brainnetome 6_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A28/34_R,right,116,PhG_R_6_4,NGIQ-BR-00000128,"Right Parahippocampal gyrus, Brainnetome 6_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
TI_L,left,117,PhG_L_6_5,NGIQ-BR-00000129,"Left Parahippocampal gyrus, Brainnetome 6_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
TI_R,right,118,PhG_R_6_5,NGIQ-BR-00000130,"Right Parahippocampal gyrus, Brainnetome 6_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
TH_L,left,119,PhG_L_6_6,NGIQ-BR-00000131,"Left Parahippocampal gyrus, Brainnetome 6_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
TH_R,right,120,PhG_R_6_6,NGIQ-BR-00000132,"Right Parahippocampal gyrus, Brainnetome 6_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
rpSTS_L,left,121,pSTS_L_2_1,NGIQ-BR-00000133,"Left Posterior superior temporal sulcus, Brainnetome 2_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
rpSTS_R,right,122,pSTS_R_2_1,NGIQ-BR-00000134,"Right Posterior superior temporal sulcus, Brainnetome 2_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
cpSTS_L,left,123,pSTS_L_2_2,NGIQ-BR-00000135,"Left Posterior superior temporal sulcus, Brainnetome 2_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
cpSTS_R,right,124,pSTS_R_2_2,NGIQ-BR-00000136,"Right Posterior superior temporal sulcus, Brainnetome 2_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A7r_L,left,125,SPL_L_5_1,NGIQ-BR-00000009,"Left Superior parietal lobule, Brainnetome 5_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A7r_R,right,126,SPL_R_5_1,NGIQ-BR-00000010,"Right Superior parietal lobule, Brainnetome 5_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A7c_L,left,127,SPL_L_5_2,NGIQ-BR-00000137,"Left Superior parietal lobule, Brainnetome 5_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A7c_R,right,128,SPL_R_5_2,NGIQ-BR-00000138,"Right Superior parietal lobule, Brainnetome 5_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A5l_L,left,129,SPL_L_5_3,NGIQ-BR-00000139,"Left Superior parietal lobule, Brainnetome 5_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A5l_R,right,130,SPL_R_5_3,NGIQ-BR-00000140,"Right Superior parietal lobule, Brainnetome 5_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A7pc_L,left,131,SPL_L_5_4,NGIQ-BR-00000141,"Left Superior parietal lobule, Brainnetome 5_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A7pc_R,right,132,SPL_R_5_4,NGIQ-BR-00000142,"Right Superior parietal lobule, Brainnetome 5_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A7ip_L,left,133,SPL_L_5_5,NGIQ-BR-00000143,"Left Superior parietal lobule, Brainnetome 5_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A7ip_R,right,134,SPL_R_5_5,NGIQ-BR-00000144,"Right Superior parietal lobule, Brainnetome 5_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A39c_L,left,135,IPL_L_6_1,NGIQ-BR-00000011,"Left Inferior parietal lobule, Brainnetome 6_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A39c_R,right,136,IPL_R_6_1,NGIQ-BR-00000012,"Right Inferior parietal lobule, Brainnetome 6_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A39rd_L,left,137,IPL_L_6_2,NGIQ-BR-00000145,"Left Inferior parietal lobule, Brainnetome 6_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A39rd_R,right,138,IPL_R_6_2,NGIQ-BR-00000146,"Right Inferior parietal lobule, Brainnetome 6_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A40rd_L,left,139,IPL_L_6_3,NGIQ-BR-00000147,"Left Inferior parietal lobule, Brainnetome 6_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A40rd_R,right,140,IPL_R_6_3,NGIQ-BR-00000148,"Right Inferior parietal lobule, Brainnetome 6_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A40c_L,left,141,IPL_L_6_4,NGIQ-BR-00000149,"Left Inferior parietal lobule, Brainnetome 6_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A40c_R,right,142,IPL_R_6_4,NGIQ-BR-00000150,"Right Inferior parietal lobule, Brainnetome 6_4",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A39rv_L,left,143,IPL_L_6_5,NGIQ-BR-00000151,"Left Inferior parietal lobule, Brainnetome 6_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A39rv_R,right,144,IPL_R_6_5,NGIQ-BR-00000152,"Right Inferior parietal lobule, Brainnetome 6_5",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A40rv_L,left,145,IPL_L_6_6,NGIQ-BR-00000153,"Left Inferior parietal lobule, Brainnetome 6_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A40rv_R,right,146,IPL_R_6_6,NGIQ-BR-00000154,"Right Inferior parietal lobule, Brainnetome 6_6",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A7m_L,left,147,PCun_L_4_1,NGIQ-BR-00000155,"Left Precuneus, Brainnetome 4_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A7m_R,right,148,PCun_R_4_1,NGIQ-BR-00000156,"Right Precuneus, Brainnetome 4_1",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A5m_L,left,149,PCun_L_4_2,NGIQ-BR-00000157,"Left Precuneus, Brainnetome 4_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
A5m_R,right,150,PCun_R_4_2,NGIQ-BR-00000158,"Right Precuneus, Brainnetome 4_2",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
dmPOS_L,left,151,PCun_L_4_3,NGIQ-BR-00000159,"Left Precuneus, Brainnetome 4_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
dmPOS_R,right,152,PCun_R_4_3,NGIQ-BR-00000160,"Right Precuneus, Brainnetome 4_3",EXACT_MODIFIED_CODE+HEMISPHERE,ALIGNED,
