pair_id,left_g3_entity_id,right_g3_entity_id,left_name,right_name,source_labels,brainnetome_parcel_ids,anatomical_family,candidate_g1_concepts,official_bna_code,official_macro_gyrus,official_modified_code,official_modified_name,left_mni_xyz,right_mni_xyz,authority_source,authority_reference,authority_alignment_status,classification,proposed_candidate,review_reason,review_decision
P13,NGIQ-BR-00000003,NGIQ-BR-00000004,"Left Inferior frontal gyrus, Brainnetome 6_1","Right Inferior frontal gyrus, Brainnetome 6_1",IFG_L_6_1 / IFG_R_6_1,29 / 30,Inferior frontal gyrus,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",IFG_L(R)_6_1,"IFG, Inferior frontal gyrus",A44d,dorsal area 44,"(46,13,24)","(45,16,25)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A44d precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P14,NGIQ-BR-00000047,NGIQ-BR-00000048,"Left Inferior frontal gyrus, Brainnetome 6_2","Right Inferior frontal gyrus, Brainnetome 6_2",IFG_L_6_2 / IFG_R_6_2,31 / 32,Inferior frontal gyrus,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",IFG_L(R)_6_2,"IFG, Inferior frontal gyrus",IFS,inferior frontal sulcus,"(47,32,14)","(48,35,13)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,NO_DIRECT_G1_CONCEPT,,IFS is a sulcus/junction; no G1 coarse concept,PENDING_HUMAN_REVIEW
P15,NGIQ-BR-00000049,NGIQ-BR-00000050,"Left Inferior frontal gyrus, Brainnetome 6_3","Right Inferior frontal gyrus, Brainnetome 6_3",IFG_L_6_3 / IFG_R_6_3,33 / 34,Inferior frontal gyrus,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",IFG_L(R)_6_3,"IFG, Inferior frontal gyrus",A45c,caudal area 45,"(53,23,11)","(54,24,12)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A45c precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P16,NGIQ-BR-00000051,NGIQ-BR-00000052,"Left Inferior frontal gyrus, Brainnetome 6_4","Right Inferior frontal gyrus, Brainnetome 6_4",IFG_L_6_4 / IFG_R_6_4,35 / 36,Inferior frontal gyrus,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",IFG_L(R)_6_4,"IFG, Inferior frontal gyrus",A45r,rostral area 45,"(49,36,3)","(51,36,1)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A45r precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P17,NGIQ-BR-00000053,NGIQ-BR-00000054,"Left Inferior frontal gyrus, Brainnetome 6_5","Right Inferior frontal gyrus, Brainnetome 6_5",IFG_L_6_5 / IFG_R_6_5,37 / 38,Inferior frontal gyrus,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",IFG_L(R)_6_5,"IFG, Inferior frontal gyrus",A44op,opercular area 44,"(39,23,4)","(42,22,3)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A44op precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P18,NGIQ-BR-00000055,NGIQ-BR-00000056,"Left Inferior frontal gyrus, Brainnetome 6_6","Right Inferior frontal gyrus, Brainnetome 6_6",IFG_L_6_6 / IFG_R_6_6,39 / 40,Inferior frontal gyrus,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",IFG_L(R)_6_6,"IFG, Inferior frontal gyrus",A44v,ventral area 44,"(52,13,6)","(54,14,11)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A44v precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P19,NGIQ-BR-00000033,NGIQ-BR-00000034,"Left Middle frontal gyrus, Brainnetome 7_1","Right Middle frontal gyrus, Brainnetome 7_1",MFG_L_7_1 / MFG_R_7_1,15 / 16,Middle frontal gyrus,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,MFG_L(R)_7_1,"MFG, Middle frontal gyrus",A9/46d,dorsal area 9/46,"(27,43,31)","(30,37,36)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A9/46d precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P20,NGIQ-BR-00000035,NGIQ-BR-00000036,"Left Middle frontal gyrus, Brainnetome 7_2","Right Middle frontal gyrus, Brainnetome 7_2",MFG_L_7_2 / MFG_R_7_2,17 / 18,Middle frontal gyrus,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,MFG_L(R)_7_2,"MFG, Middle frontal gyrus",IFJ,inferior frontal junction,"(42,13,36)","(42,11,39)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,IFJ precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P21,NGIQ-BR-00000037,NGIQ-BR-00000038,"Left Middle frontal gyrus, Brainnetome 7_3","Right Middle frontal gyrus, Brainnetome 7_3",MFG_L_7_3 / MFG_R_7_3,19 / 20,Middle frontal gyrus,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,MFG_L(R)_7_3,"MFG, Middle frontal gyrus",A46,area 46,"(28,56,12)","(28,55,17)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A46 precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P22,NGIQ-BR-00000039,NGIQ-BR-00000040,"Left Middle frontal gyrus, Brainnetome 7_4","Right Middle frontal gyrus, Brainnetome 7_4",MFG_L_7_4 / MFG_R_7_4,21 / 22,Middle frontal gyrus,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,MFG_L(R)_7_4,"MFG, Middle frontal gyrus",A9/46v,ventral area 9/46,"(41,41,16)","(42,44,14)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A9/46v precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P23,NGIQ-BR-00000041,NGIQ-BR-00000042,"Left Middle frontal gyrus, Brainnetome 7_5","Right Middle frontal gyrus, Brainnetome 7_5",MFG_L_7_5 / MFG_R_7_5,23 / 24,Middle frontal gyrus,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,MFG_L(R)_7_5,"MFG, Middle frontal gyrus",A8vl,ventrolateral area 8,"(33,23,45)","(42,27,39)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A8vl precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P24,NGIQ-BR-00000043,NGIQ-BR-00000044,"Left Middle frontal gyrus, Brainnetome 7_6","Right Middle frontal gyrus, Brainnetome 7_6",MFG_L_7_6 / MFG_R_7_6,25 / 26,Middle frontal gyrus,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,MFG_L(R)_7_6,"MFG, Middle frontal gyrus",A6vl,ventrolateral area 6,"(32,4,55)","(34,8,54)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A6vl precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P25,NGIQ-BR-00000045,NGIQ-BR-00000046,"Left Middle frontal gyrus, Brainnetome 7_7","Right Middle frontal gyrus, Brainnetome 7_7",MFG_L_7_7 / MFG_R_7_7,27 / 28,Middle frontal gyrus,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,MFG_L(R)_7_7,"MFG, Middle frontal gyrus",A10l,lateral area 10,"(26,60,6)","(25,61,4)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A10l precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P26,NGIQ-BR-00000057,NGIQ-BR-00000058,"Left Orbital gyrus, Brainnetome 6_1","Right Orbital gyrus, Brainnetome 6_1",OrG_L_6_1 / OrG_R_6_1,41 / 42,Orbital gyrus,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,OrG_L(R)_6_1,"OrG, Orbital gyrus",A14m,medial area 14,"(7,54,7)","(6,47,7)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A14m precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P27,NGIQ-BR-00000059,NGIQ-BR-00000060,"Left Orbital gyrus, Brainnetome 6_2","Right Orbital gyrus, Brainnetome 6_2",OrG_L_6_2 / OrG_R_6_2,43 / 44,Orbital gyrus,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,OrG_L(R)_6_2,"OrG, Orbital gyrus",A12/47o,orbital area 12/47,"(36,33,16)","(40,39,14)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A12/47o precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P28,NGIQ-BR-00000061,NGIQ-BR-00000062,"Left Orbital gyrus, Brainnetome 6_3","Right Orbital gyrus, Brainnetome 6_3",OrG_L_6_3 / OrG_R_6_3,45 / 46,Orbital gyrus,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,OrG_L(R)_6_3,"OrG, Orbital gyrus",A11l,lateral area 11,"(23,38,18)","(23,36,18)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A11l precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P29,NGIQ-BR-00000063,NGIQ-BR-00000064,"Left Orbital gyrus, Brainnetome 6_4","Right Orbital gyrus, Brainnetome 6_4",OrG_L_6_4 / OrG_R_6_4,47 / 48,Orbital gyrus,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,OrG_L(R)_6_4,"OrG, Orbital gyrus",A11m,medial area 11,"(6,52,19)","(6,57,16)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A11m precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P30,NGIQ-BR-00000065,NGIQ-BR-00000066,"Left Orbital gyrus, Brainnetome 6_5","Right Orbital gyrus, Brainnetome 6_5",OrG_L_6_5 / OrG_R_6_5,49 / 50,Orbital gyrus,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,OrG_L(R)_6_5,"OrG, Orbital gyrus",A13,area 13,"(10,18,19)","(9,20,19)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A13 precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P31,NGIQ-BR-00000067,NGIQ-BR-00000068,"Left Orbital gyrus, Brainnetome 6_6","Right Orbital gyrus, Brainnetome 6_6",OrG_L_6_6 / OrG_R_6_6,51 / 52,Orbital gyrus,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,OrG_L(R)_6_6,"OrG, Orbital gyrus",A12/47l,lateral area 12/47,"(41,32,9)","(42,31,9)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,SPATIAL_REVIEW_REQUIRED,,A12/47l precise but cannot determine G1 boundary by name alone,PENDING_HUMAN_REVIEW
P32,NGIQ-BR-00000019,NGIQ-BR-00000221,"Left Striatum (basal ganglia), Brainnetome 6_1","Right Striatum (basal ganglia), Brainnetome 6_1",Str_L_6_1 / Str_R_6_1,219 / 220,Striatum (basal ganglia),Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,BG_L(R)_6_1,"BG, Basal ganglia",vCa,ventral caudate,"(12,14,0)","(15,14,2)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,DIRECT_ANATOMICAL_CANDIDATE,Caudate Nucleus,ventral caudate -> Caudate,PENDING_HUMAN_REVIEW
P33,NGIQ-BR-00000222,NGIQ-BR-00000223,"Left Striatum (basal ganglia), Brainnetome 6_2","Right Striatum (basal ganglia), Brainnetome 6_2",Str_L_6_2 / Str_R_6_2,221 / 222,Striatum (basal ganglia),Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,BG_L(R)_6_2,"BG, Basal ganglia",GP,globus pallidus,"(22,2,4)","(22,2,3)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,DIRECT_ANATOMICAL_CANDIDATE,Globus Pallidus,globus pallidus -> Globus Pallidus,PENDING_HUMAN_REVIEW
P34,NGIQ-BR-00000224,NGIQ-BR-00000225,"Left Striatum (basal ganglia), Brainnetome 6_3","Right Striatum (basal ganglia), Brainnetome 6_3",Str_L_6_3 / Str_R_6_3,223 / 224,Striatum (basal ganglia),Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,BG_L(R)_6_3,"BG, Basal ganglia",NAC,nucleus accumbens,"(17,3,9)","(15,8,9)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,DIRECT_ANATOMICAL_CANDIDATE,Nucleus Accumbens,nucleus accumbens -> Nucleus Accumbens,PENDING_HUMAN_REVIEW
P35,NGIQ-BR-00000226,NGIQ-BR-00000227,"Left Striatum (basal ganglia), Brainnetome 6_4","Right Striatum (basal ganglia), Brainnetome 6_4",Str_L_6_4 / Str_R_6_4,225 / 226,Striatum (basal ganglia),Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,BG_L(R)_6_4,"BG, Basal ganglia",vmPu,ventromedial putamen,"(23,7,4)","(22,8,1)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,DIRECT_ANATOMICAL_CANDIDATE,Putamen,ventromedial putamen -> Putamen,PENDING_HUMAN_REVIEW
P36,NGIQ-BR-00000228,NGIQ-BR-00000229,"Left Striatum (basal ganglia), Brainnetome 6_5","Right Striatum (basal ganglia), Brainnetome 6_5",Str_L_6_5 / Str_R_6_5,227 / 228,Striatum (basal ganglia),Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,BG_L(R)_6_5,"BG, Basal ganglia",dCa,dorsal caudate,"(14,2,16)","(14,5,14)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,DIRECT_ANATOMICAL_CANDIDATE,Caudate Nucleus,dorsal caudate -> Caudate,PENDING_HUMAN_REVIEW
P37,NGIQ-BR-00000230,NGIQ-BR-00000231,"Left Striatum (basal ganglia), Brainnetome 6_6","Right Striatum (basal ganglia), Brainnetome 6_6",Str_L_6_6 / Str_R_6_6,229 / 230,Striatum (basal ganglia),Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,BG_L(R)_6_6,"BG, Basal ganglia",dlPu,dorsolateral putamen,"(28,5,2)","(29,3,1)",Fan et al. 2016 Table 1 (doi:10.1093/cercor/bhw157),PMC4961028,ALIGNED,DIRECT_ANATOMICAL_CANDIDATE,Putamen,dorsolateral putamen -> Putamen,PENDING_HUMAN_REVIEW
