source_row_id,source_name_en,source_name_zh,normalized_name_en,normalized_name_zh,hemisphere,structure_type,brainregion_eligible,circuit_discovery_eligible,granularity_level,species_taxon_id,normalization_status,normalization_note
32,cerebellar vermal lobules I-V,小脑小叶I-V,"Cerebellar Vermis, Lobules I-V",小脑蚓部小叶 I-V,midline,cerebellar_region,true,true,G1_MACRO,9606,normalized,
33,cerebellar vermal lobules VI-VII,小脑小叶VI-VII,"Cerebellar Vermis, Lobules VI-VII",小脑蚓部小叶 VI-VII,midline,cerebellar_region,true,true,G1_MACRO,9606,normalized,
34,cerebellar vermal lobules VIII-X,小脑小叶VIII-X,"Cerebellar Vermis, Lobules VIII-X",小脑蚓部小叶 VIII-X,midline,cerebellar_region,true,true,G1_MACRO,9606,normalized,
35,left caudal anterior cingulate,左尾前扣带,Left Caudal Anterior Cingulate Cortex,左尾侧前扣带皮质,left,cortical_region,true,true,G1_MACRO,9606,normalized,
36,left caudal middle frontal,左尾中额叶,Left Caudal Middle Frontal Gyrus,左侧尾侧额中回,left,cortical_region,true,true,G1_MACRO,9606,normalized,
37,left cuneus,左楔,Left Cuneus,左楔叶,left,cortical_region,true,true,G1_MACRO,9606,normalized,
38,left entorhinal,左内嗅,Left Entorhinal Cortex,左内嗅皮质,left,cortical_region,true,true,G1_MACRO,9606,normalized,
39,left fusiform,左梭形,Left Fusiform Gyrus,左梭状回,left,cortical_region,true,true,G1_MACRO,9606,normalized,
40,left inferior parietal,左下顶叶,Left Inferior Parietal Lobule,左侧顶下小叶,left,cortical_region,true,true,G1_MACRO,9606,normalized,
41,left inferior temporal,左下颞叶,Left Inferior Temporal Gyrus,左颞下回,left,cortical_region,true,true,G1_MACRO,9606,normalized,
42,left isthmus cingulate,左扣带回峡部,Left Isthmus Of Cingulate Gyrus,左扣带回峡部,left,cortical_region,true,true,G1_MACRO,9606,normalized,
43,left lateral occipital,左侧枕外侧,Left Lateral Occipital Cortex,左外侧枕叶皮质,left,cortical_region,true,true,G1_MACRO,9606,normalized,
44,left lateral orbitofrontal,左眶额外侧,Left Lateral Orbitofrontal Cortex,左外侧眶额皮质,left,cortical_region,true,true,G1_MACRO,9606,normalized,
45,left lingual gyrus,左舌回,Left Lingual Gyrus,左舌回,left,cortical_region,true,true,G1_MACRO,9606,normalized,
46,left medial orbitofrontal,左眶额内侧,Left Medial Orbitofrontal Cortex,左内侧眶额皮质,left,cortical_region,true,true,G1_MACRO,9606,normalized,
47,left middle temporal,左中颞叶,Left Middle Temporal Gyrus,左颞中回,left,cortical_region,true,true,G1_MACRO,9606,normalized,
48,left parahippocampal,左海马旁,Left Parahippocampal Gyrus,左海马旁回,left,cortical_region,true,true,G1_MACRO,9606,normalized,
49,left paracentral,左旁中央,Left Paracentral Lobule,左中央旁小叶,left,cortical_region,true,true,G1_MACRO,9606,normalized,
50,left pars opercularis,左鳃盖部,"Left Inferior Frontal Gyrus, Pars Opercularis",左侧额下回盖部,left,cortical_region,true,true,G1_MACRO,9606,normalized,
51,left pars orbitalis,左眶部,"Left Inferior Frontal Gyrus, Pars Orbitalis",左侧额下回眶部,left,cortical_region,true,true,G1_MACRO,9606,normalized,
52,left pars triangularis,左三角部,"Left Inferior Frontal Gyrus, Pars Triangularis",左侧额下回三角部,left,cortical_region,true,true,G1_MACRO,9606,normalized,
53,left pericalcarine,左骨膜,Left Pericalcarine Cortex,左侧距状沟周围皮质,left,cortical_region,true,true,G1_MACRO,9606,normalized,
54,left postcentral,左后中央,Left Postcentral Gyrus,左中央后回,left,cortical_region,true,true,G1_MACRO,9606,normalized,
55,left posterior cingulate,左后扣带,Left Posterior Cingulate Cortex,左后扣带皮质,left,cortical_region,true,true,G1_MACRO,9606,normalized,
56,left precentral,左中央前,Left Precentral Gyrus,左中央前回,left,cortical_region,true,true,G1_MACRO,9606,normalized,
57,left precuneus,左楔前叶,Left Precuneus,左楔前叶,left,cortical_region,true,true,G1_MACRO,9606,normalized,
58,left rostral anterior cingulate,左喙前扣带,Left Rostral Anterior Cingulate Cortex,左喙侧前扣带皮质,left,cortical_region,true,true,G1_MACRO,9606,normalized,
59,left rostral middle frontal,左喙中额叶,Left Rostral Middle Frontal Cortex,左喙侧额中回,left,cortical_region,true,true,G1_MACRO,9606,normalized,
60,left superior frontal,左上额叶,Left Superior Frontal Gyrus,左额上回,left,cortical_region,true,true,G1_MACRO,9606,normalized,
61,left superior parietal,左上顶叶,Left Superior Parietal Lobule,左顶上小叶,left,cortical_region,true,true,G1_MACRO,9606,normalized,
62,left superior temporal,左颞上叶,Left Superior Temporal Gyrus,左颞上回,left,cortical_region,true,true,G1_MACRO,9606,normalized,
63,left supramarginal,左超边缘,Left Supramarginal Gyrus,左缘上回,left,cortical_region,true,true,G1_MACRO,9606,normalized,
64,left transverse temporal,左横颞叶,Left Transverse Temporal Gyrus,左颞横回,left,cortical_region,true,true,G1_MACRO,9606,normalized,
65,left insula,左脑岛,Left Insula,左岛叶,left,cortical_region,true,true,G1_MACRO,9606,normalized,
66,right caudal anterior cingulate,右尾前扣带回,Right Caudal Anterior Cingulate Cortex,右尾侧前扣带皮质,right,cortical_region,true,true,G1_MACRO,9606,normalized,
67,right caudal middle frontal,右尾中额叶,Right Caudal Middle Frontal Gyrus,右侧尾侧额中回,right,cortical_region,true,true,G1_MACRO,9606,normalized,
68,right cuneus,右楔,Right Cuneus,右楔叶,right,cortical_region,true,true,G1_MACRO,9606,normalized,
69,right entorhinal,右内嗅,Right Entorhinal Cortex,右内嗅皮质,right,cortical_region,true,true,G1_MACRO,9606,normalized,
70,right fusiform,右梭形,Right Fusiform Gyrus,右梭状回,right,cortical_region,true,true,G1_MACRO,9606,normalized,
71,right inferior parietal,右下顶叶,Right Inferior Parietal Lobule,右侧顶下小叶,right,cortical_region,true,true,G1_MACRO,9606,normalized,
72,right inferior temporal,右下颞叶,Right Inferior Temporal Gyrus,右颞下回,right,cortical_region,true,true,G1_MACRO,9606,normalized,
73,right isthmus cingulate,右侧扣带峡部,Right Isthmus Of Cingulate Gyrus,右扣带回峡部,right,cortical_region,true,true,G1_MACRO,9606,normalized,
74,right lateral occipital,右侧枕外侧,Right Lateral Occipital Cortex,右外侧枕叶皮质,right,cortical_region,true,true,G1_MACRO,9606,normalized,
75,right lateral orbitofrontal,右眶额外侧,Right Lateral Orbitofrontal Cortex,右外侧眶额皮质,right,cortical_region,true,true,G1_MACRO,9606,normalized,
76,right lingual gyrus,右舌回,Right Lingual Gyrus,右舌回,right,cortical_region,true,true,G1_MACRO,9606,normalized,
77,right medial orbitofrontal,右眶额内侧,Right Medial Orbitofrontal Cortex,右内侧眶额皮质,right,cortical_region,true,true,G1_MACRO,9606,normalized,
78,right middle temporal,右中颞叶,Right Middle Temporal Gyrus,右颞中回,right,cortical_region,true,true,G1_MACRO,9606,normalized,
79,right parahippocampal,右海马旁,Right Parahippocampal Gyrus,右海马旁回,right,cortical_region,true,true,G1_MACRO,9606,normalized,
80,right paracentral,右旁中央,Right Paracentral Lobule,右中央旁小叶,right,cortical_region,true,true,G1_MACRO,9606,normalized,
81,right pars opercularis,右鳃盖部,"Right Inferior Frontal Gyrus, Pars Opercularis",右侧额下回盖部,right,cortical_region,true,true,G1_MACRO,9606,normalized,
82,right pars orbitalis,右眶部,"Right Inferior Frontal Gyrus, Pars Orbitalis",右侧额下回眶部,right,cortical_region,true,true,G1_MACRO,9606,normalized,
83,right pars triangularis,右三角部,"Right Inferior Frontal Gyrus, Pars Triangularis",右侧额下回三角部,right,cortical_region,true,true,G1_MACRO,9606,normalized,
84,right pericalcarine,右骨膜,Right Pericalcarine Cortex,右侧距状沟周围皮质,right,cortical_region,true,true,G1_MACRO,9606,normalized,
85,right postcentral,右后中央,Right Postcentral Gyrus,右中央后回,right,cortical_region,true,true,G1_MACRO,9606,normalized,
86,right posterior cingulate,右后扣带,Right Posterior Cingulate Cortex,右后扣带皮质,right,cortical_region,true,true,G1_MACRO,9606,normalized,
87,right precentral,右中心前,Right Precentral Gyrus,右中央前回,right,cortical_region,true,true,G1_MACRO,9606,normalized,
88,right precuneus,右楔前叶,Right Precuneus,右楔前叶,right,cortical_region,true,true,G1_MACRO,9606,normalized,
89,right rostral anterior cingulate,右喙前扣带,Right Rostral Anterior Cingulate Cortex,右喙侧前扣带皮质,right,cortical_region,true,true,G1_MACRO,9606,normalized,
90,right rostral middle frontal,右喙中额叶,Right Rostral Middle Frontal Cortex,右喙侧额中回,right,cortical_region,true,true,G1_MACRO,9606,normalized,
91,right superior frontal,右上额叶,Right Superior Frontal Gyrus,右额上回,right,cortical_region,true,true,G1_MACRO,9606,normalized,
92,right superior parietal,右上顶叶,Right Superior Parietal Lobule,右顶上小叶,right,cortical_region,true,true,G1_MACRO,9606,normalized,
93,right superior temporal,右颞上叶,Right Superior Temporal Gyrus,右颞上回,right,cortical_region,true,true,G1_MACRO,9606,normalized,
94,right supramarginal,右超边缘,Right Supramarginal Gyrus,右缘上回,right,cortical_region,true,true,G1_MACRO,9606,normalized,
95,right transverse temporal,右颞横叶,Right Transverse Temporal Gyrus,右颞横回,right,cortical_region,true,true,G1_MACRO,9606,normalized,
96,right insula,右脑岛,Right Insula,右岛叶,right,cortical_region,true,true,G1_MACRO,9606,normalized,
